,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
11406,PYRUSDT,KMNOUSDT,0.03,-3.57,-3.37,24.72,10
3514,BNBUSDT,LTCUSDT,0.01,-3.99,-3.37,5.58,10
2239,ALTUSDT,BNTUSDT,0.0,-4.52,-3.37,0.11,10
5057,DASHUSDT,FUELUSDT,0.03,-3.58,-3.37,1211.54,10
13568,STMXUSDT,VINEUSDT,0.04,-3.4,-3.37,0.02,10
7868,HIGHUSDT,EIGENUSDT,0.04,-3.4,-3.37,0.43,10
5046,DASHUSDT,ALEOUSDT,0.03,-3.48,-3.37,83.84,10
354,10000COQUSDT,COTIUSDT,0.01,-3.91,-3.37,0.1,10
4085,CHESSUSDT,10000000AIDOGEUSDT,0.04,-3.39,-3.37,81.66,10
1510,ACTUSDT,DBRUSDT,0.04,-3.43,-3.37,6.1,10
3547,BNBUSDT,RADUSDT,0.0,-4.85,-3.37,651.07,10
7889,HIPPOUSDT,ALEOUSDT,0.01,-3.78,-3.37,0.02,10
3553,BNBUSDT,SKLUSDT,0.03,-3.5,-3.37,12577.74,10
4948,CVCUSDT,FUELUSDT,0.0,-4.34,-3.37,5.08,10
13473,SPECUSDT,SWARMSUSDT,0.01,-4.11,-3.37,62.81,10
5359,DGBUSDT,RADUSDT,0.0,-5.13,-3.37,0.01,10
4928,CTSIUSDT,RADUSDT,0.0,-4.73,-3.37,0.13,10
10066,NEIROETHUSDT,NOTUSDT,0.01,-3.99,-3.37,5.31,10
4077,CGPTUSDT,MOODENGUSDT,0.03,-3.48,-3.37,1.97,10
11372,PROSUSDT,RUNEUSDT,0.04,-3.39,-3.37,0.2,10
9623,MBOXUSDT,10000000AIDOGEUSDT,0.03,-3.58,-3.37,74.19,10
4876,CTKUSDT,PRCLUSDT,0.04,-3.45,-3.37,2.34,10
7792,HBARUSDT,VINEUSDT,0.03,-3.54,-3.37,1.15,10
13682,SWELLUSDT,VINEUSDT,0.04,-3.46,-3.37,0.07,10
13392,SNTUSDT,10000000AIDOGEUSDT,0.02,-3.63,-3.37,21.22,10
4889,CTKUSDT,SPELLUSDT,0.01,-3.89,-3.37,374.35,10
9646,MBOXUSDT,RADUSDT,0.0,-4.24,-3.37,0.13,10
7816,HIFIUSDT,DENTUSDT,0.05,-3.38,-3.37,476.39,10
443,10000COQUSDT,LDOUSDT,0.04,-3.38,-3.37,0.0,10
8286,ICPUSDT,QNTUSDT,0.04,-3.44,-3.37,0.08,10
13423,SNXUSDT,SUSDT,0.04,-3.45,-3.37,2.99,10
10188,NSUSDT,ARPAUSDT,0.02,-3.72,-3.37,5.16,10
5233,DGBUSDT,DENTUSDT,0.03,-3.5,-3.37,9.63,10
7819,HIFIUSDT,FUELUSDT,0.01,-3.78,-3.37,19.47,10
8358,IDUSDT,HOTUSDT,0.02,-3.62,-3.37,173.87,10
1617,ACXUSDT,QNTUSDT,0.02,-3.63,-3.37,0.0,10
1619,ACXUSDT,RADUSDT,0.01,-4.07,-3.37,0.4,10
13454,SPECUSDT,ALEOUSDT,0.04,-3.38,-3.37,12.92,10
13867,TRUUSDT,MASKUSDT,0.0,-4.16,-3.37,0.03,10
10115,NKNUSDT,VRUSDT,0.04,-3.44,-3.37,8.47,10
5864,ETHFIUSDT,GLMRUSDT,0.02,-3.66,-3.37,9.34,10
4013,CFXUSDT,HYPEUSDT,0.01,-3.91,-3.37,0.01,10
13951,TWTUSDT,COTIUSDT,0.04,-3.43,-3.37,10.6,10
4440,COSUSDT,RUNEUSDT,0.04,-3.45,-3.37,0.0,10
9880,MONUSDT,MNTUSDT,0.03,-3.57,-3.37,0.06,10
3160,BATUSDT,KAVAUSDT,0.04,-3.41,-3.37,0.5,10
11774,RENDERUSDT,DUCKUSDT,0.03,-3.49,-3.37,1491.76,10
9234,MANAUSDT,DENTUSDT,0.0,-4.12,-3.37,396.5,10
152,1000000PEIPEIUSDT,FLOCKUSDT,0.03,-3.52,-3.37,0.42,10
12981,SFPUSDT,RUNEUSDT,0.04,-3.4,-3.37,0.31,10
12982,SFPUSDT,SKLUSDT,0.02,-3.65,-3.37,12.8,10
5893,ETHFIUSDT,SPELLUSDT,0.03,-3.48,-3.37,1037.84,10
3669,BOBAUSDT,NSUSDT,0.04,-3.42,-3.37,0.87,10
12993,SFPUSDT,USDEUSDT,0.0,-4.23,-3.37,0.68,10
11677,RADUSDT,VINEUSDT,0.0,-4.18,-3.37,3.8,10
8563,JSTUSDT,ALEOUSDT,0.0,-4.13,-3.37,0.09,10
7994,HIVEUSDT,FUELUSDT,0.01,-3.81,-3.37,14.92,10
12952,SFPUSDT,LEVERUSDT,0.02,-3.7,-3.37,418.1,10
7514,GOMININGUSDT,PRCLUSDT,0.0,-4.13,-3.37,2.01,10
5833,ETCUSDT,MASKUSDT,0.01,-4.05,-3.37,11.55,10
4450,COSUSDT,TUSDT,0.03,-3.47,-3.37,0.25,10
10436,ONGUSDT,FUELUSDT,0.02,-3.74,-3.37,10.82,10
12909,SFPUSDT,ACTUSDT,0.02,-3.6,-3.37,3.58,10
3742,BRETTUSDT,MYROUSDT,0.03,-3.49,-3.37,2.51,10
8570,JSTUSDT,SPELLUSDT,0.02,-3.74,-3.37,24.52,10
8572,JSTUSDT,TRBUSDT,0.02,-3.74,-3.37,0.0,10
11263,PRIMEUSDT,RADUSDT,0.03,-3.55,-3.37,9.41,10
7459,GOMININGUSDT,MOCAUSDT,0.0,-4.17,-3.37,2.57,10
11260,PRCLUSDT,VTHOUSDT,0.05,-3.37,-3.37,46.18,10
11248,PRCLUSDT,JUSDT,0.04,-3.39,-3.37,0.8,10
9277,MANAUSDT,SCRTUSDT,0.01,-3.85,-3.37,1.37,10
9268,MANAUSDT,PORTALUSDT,0.05,-3.38,-3.37,2.17,10
11759,RDNTUSDT,GLMRUSDT,0.03,-3.55,-3.37,0.27,10
9933,MOVRUSDT,MASKUSDT,0.01,-3.87,-3.37,4.14,10
4548,CROUSDT,HOTUSDT,0.0,-5.08,-3.37,64.16,10
10422,ONGUSDT,ALEOUSDT,0.01,-3.85,-3.37,0.75,10
14043,TWTUSDT,ONDOUSDT,0.05,-3.37,-3.37,0.71,10
6006,FDUSDUSDT,AVAILUSDT,0.03,-3.58,-3.37,9.23,10
154,1000000PEIPEIUSDT,FUELUSDT,0.02,-3.68,-3.37,1.85,10
4650,CROUSDT,VINEUSDT,0.01,-3.96,-3.37,0.48,10
10334,NULSUSDT,HIGHUSDT,0.03,-3.51,-3.37,0.28,10
11256,PRCLUSDT,USDCUSDT,0.03,-3.51,-3.37,0.24,10
9226,MANAUSDT,BAKEUSDT,0.02,-3.73,-3.37,2.35,10
13084,SLFUSDT,1000TOSHIUSDT,0.03,-3.57,-3.37,0.2,10
9996,MTLUSDT,VRUSDT,0.03,-3.49,-3.37,121.11,10
3916,CELOUSDT,10000000AIDOGEUSDT,0.04,-3.46,-3.37,291.89,10
1549,ACXUSDT,1000TOSHIUSDT,0.04,-3.47,-3.37,0.35,10
11255,PRCLUSDT,SPELLUSDT,0.04,-3.4,-3.37,159.51,10
2114,ALGOUSDT,HPOS10IUSDT,0.01,-3.96,-3.37,2.71,10
7604,GOMININGUSDT,USUALUSDT,0.0,-4.18,-3.37,1.43,10
8491,IOTXUSDT,HOTUSDT,0.02,-3.67,-3.37,15.36,10
10339,NULSUSDT,NMRUSDT,0.0,-4.83,-3.37,0.03,10
3295,BICOUSDT,RADUSDT,0.0,-5.1,-3.37,0.23,10
9217,MANAUSDT,1000PEPEUSDT,0.01,-3.8,-3.37,33.28,10
5753,EGLDUSDT,RADUSDT,0.0,-4.47,-3.37,28.0,10
3241,BCHUSDT,MASKUSDT,0.0,-4.33,-3.37,188.04,10
11656,RADUSDT,TNSRUSDT,0.0,-4.57,-3.37,2.56,10
11657,RADUSDT,TOKENUSDT,0.01,-3.84,-3.37,29.2,10
12714,SCRUSDT,SPELLUSDT,0.04,-3.42,-3.37,437.34,10
13022,SHIB1000USDT,FUELUSDT,0.01,-4.08,-3.37,0.69,10
9985,MTLUSDT,SPELLUSDT,0.03,-3.57,-3.37,744.13,10
11257,PRCLUSDT,USDEUSDT,0.04,-3.43,-3.37,0.24,10
9350,MAVIAUSDT,SWARMSUSDT,0.0,-4.85,-3.37,6.69,10
4602,CROUSDT,ORCAUSDT,0.01,-3.81,-3.37,0.05,10
3664,BOBAUSDT,JUPUSDT,0.01,-3.99,-3.37,0.18,10
6155,FDUSDUSDT,JTOUSDT,0.01,-3.92,-3.37,0.32,10
13050,SKLUSDT,MOVEUSDT,0.03,-3.57,-3.37,0.07,10
5795,EOSUSDT,ALEOUSDT,0.05,-3.37,-3.37,1.94,10
10520,ORBSUSDT,BADGERUSDT,0.01,-3.89,-3.37,0.01,10
6156,FDUSDUSDT,JUPUSDT,0.01,-3.82,-3.37,0.94,10
5787,ENSUSDT,RADUSDT,0.02,-3.62,-3.37,31.6,10
3303,BIGTIMEUSDT,10000LADYSUSDT,0.02,-3.65,-3.37,147.23,10
7906,HIPPOUSDT,FARTCOINUSDT,0.04,-3.47,-3.37,0.01,9
11266,PROMUSDT,10000LADYSUSDT,0.04,-3.43,-3.37,8275.62,9
11949,REQUSDT,CETUSUSDT,0.0,-4.12,-3.37,0.57,9
12032,REQUSDT,GUSDT,0.03,-3.54,-3.37,4.43,9
11962,REQUSDT,COSUSDT,0.03,-3.53,-3.37,18.96,9
7900,HIPPOUSDT,DBRUSDT,0.02,-3.73,-3.37,0.21,9
12034,REQUSDT,HFTUSDT,0.02,-3.71,-3.37,0.78,9
7897,HIPPOUSDT,BELUSDT,0.01,-3.87,-3.37,0.01,9
12035,REQUSDT,HIFIUSDT,0.02,-3.6,-3.37,0.22,9
11327,PROSUSDT,BELUSDT,0.03,-3.5,-3.37,0.65,9
8004,HIVEUSDT,LUCEUSDT,0.0,-4.95,-3.37,38.47,9
8039,HIVEUSDT,SWARMSUSDT,0.0,-4.32,-3.37,4.97,9
8002,HIVEUSDT,KOMAUSDT,0.02,-3.63,-3.37,9.41,9
11352,PROSUSDT,MAVIAUSDT,0.04,-3.39,-3.37,0.82,9
8000,HIVEUSDT,IOUSDT,0.02,-3.74,-3.37,0.15,9
7998,HIVEUSDT,GRIFFAINUSDT,0.0,-4.24,-3.37,1.35,9
7986,HIVEUSDT,BOMEUSDT,0.04,-3.47,-3.37,120.29,9
7203,GOMININGUSDT,1000APUUSDT,0.01,-4.05,-3.37,1.38,9
7199,GOMININGUSDT,10000QUBICUSDT,0.0,-4.16,-3.37,21.55,9
7946,HIPPOUSDT,OXTUSDT,0.02,-3.74,-3.37,0.06,9
11980,REQUSDT,DOGSUSDT,0.02,-3.65,-3.37,403.78,9
11345,PROSUSDT,GRIFFAINUSDT,0.02,-3.61,-3.37,1.48,9
12005,REQUSDT,FLMUSDT,0.02,-3.63,-3.37,2.24,9
7979,HIVEUSDT,AIXBTUSDT,0.0,-4.25,-3.37,0.81,9
2658,ATHUSDT,OSMOUSDT,0.05,-3.37,-3.37,0.13,9
11326,PROSUSDT,BEAMUSDT,0.01,-3.96,-3.37,28.07,9
7193,GOMININGUSDT,10000000AIDOGEUSDT,0.01,-4.08,-3.37,263.69,9
7964,HIPPOUSDT,SWARMSUSDT,0.02,-3.72,-3.37,0.08,9
12014,REQUSDT,FUSDT,0.01,-3.85,-3.37,2.82,9
7204,GOMININGUSDT,1000BONKUSDT,0.01,-4.1,-3.37,19.08,9
3914,CATIUSDT,SUNDOGUSDT,0.01,-3.83,-3.37,4.29,9
12018,REQUSDT,GASUSDT,0.04,-3.46,-3.37,0.03,9
8025,HIVEUSDT,PONKEUSDT,0.01,-3.78,-3.37,2.41,9
4104,CHESSUSDT,ENAUSDT,0.0,-4.12,-3.37,0.2,9
14210,VANAUSDT,AI16ZUSDT,0.03,-3.5,-3.37,13.79,9
8017,HIVEUSDT,OMGUSDT,0.01,-3.85,-3.37,1.36,9
11966,REQUSDT,CRVUSDT,0.03,-3.53,-3.37,0.16,9
7914,HIPPOUSDT,GRIFFAINUSDT,0.03,-3.56,-3.37,0.02,9
11967,REQUSDT,CTSIUSDT,0.03,-3.48,-3.37,0.9,9
3908,CATIUSDT,RADUSDT,0.0,-5.84,-3.37,0.22,9
2709,AUCTIONUSDT,MBOXUSDT,0.04,-3.46,-3.37,89.28,9
11970,REQUSDT,CYBERUSDT,0.02,-3.72,-3.37,0.05,9
8007,HIVEUSDT,MAVIAUSDT,0.02,-3.72,-3.37,0.75,9
11366,PROSUSDT,POPCATUSDT,0.01,-3.87,-3.37,1.24,9
11365,PROSUSDT,PONKEUSDT,0.02,-3.63,-3.37,2.63,9
7924,HIPPOUSDT,KAVAUSDT,0.01,-3.86,-3.37,0.02,9
11992,REQUSDT,ENJUSDT,0.02,-3.67,-3.37,0.78,9
11792,RENUSDT,FARTCOINUSDT,0.01,-4.03,-3.37,0.02,9
11904,REQUSDT,ASTRUSDT,0.02,-3.7,-3.37,2.35,9
11400,PYRUSDT,BELUSDT,0.01,-3.98,-3.37,4.0,9
11620,RADUSDT,SHIB1000USDT,0.0,-4.92,-3.37,54.95,9
7349,GOMININGUSDT,ETHWUSDT,0.01,-3.97,-3.37,0.19,9
11710,RAREUSDT,IOUSDT,0.01,-3.82,-3.37,0.03,9
7521,GOMININGUSDT,QIUSDT,0.01,-4.07,-3.37,36.23,9
3879,CARVUSDT,HPOS10IUSDT,0.01,-3.78,-3.37,4.47,9
1039,1000LUNCUSDT,ONEUSDT,0.04,-3.4,-3.37,3.95,9
11700,RAREUSDT,COOKUSDT,0.03,-3.55,-3.37,4.0,9
7537,GOMININGUSDT,RPLUSDT,0.01,-4.07,-3.37,0.06,9
7551,GOMININGUSDT,SENDUSDT,0.01,-4.09,-3.37,0.29,9
11675,RADUSDT,VETUSDT,0.0,-4.12,-3.37,22.71,9
7573,GOMININGUSDT,STXUSDT,0.0,-4.13,-3.37,0.38,9
2728,AUDIOUSDT,AIXBTUSDT,0.03,-3.55,-3.37,0.26,9
7341,GOMININGUSDT,ENAUSDT,0.01,-4.07,-3.37,0.65,9
7577,GOMININGUSDT,SUPERUSDT,0.01,-4.06,-3.37,0.52,9
7338,GOMININGUSDT,EDUUSDT,0.01,-4.1,-3.37,1.07,9
7580,GOMININGUSDT,SWARMSUSDT,0.0,-4.17,-3.37,5.93,9
7590,GOMININGUSDT,TOKENUSDT,0.01,-3.98,-3.37,13.87,9
11647,RADUSDT,SWARMSUSDT,0.0,-4.69,-3.37,12.57,9
11844,REQUSDT,1000000MOGUSDT,0.01,-3.86,-3.37,0.1,9
11640,RADUSDT,STXUSDT,0.0,-4.58,-3.37,0.79,9
2577,ASTRUSDT,VIRTUALUSDT,0.03,-3.59,-3.37,0.02,9
11847,REQUSDT,10000LADYSUSDT,0.01,-3.82,-3.37,192.73,9
2575,ASTRUSDT,SWARMSUSDT,0.02,-3.65,-3.37,0.61,9
7320,GOMININGUSDT,CYBERUSDT,0.01,-4.09,-3.37,0.19,9
7507,GOMININGUSDT,PNUTUSDT,0.01,-4.1,-3.37,1.85,9
1095,1000RATSUSDT,BSVUSDT,0.01,-3.95,-3.37,0.0,9
7499,GOMININGUSDT,PEOPLEUSDT,0.01,-4.07,-3.37,17.07,9
7452,GOMININGUSDT,METISUSDT,0.01,-4.11,-3.37,0.01,9
1061,1000MUMUUSDT,RADUSDT,0.0,-4.79,-3.37,0.01,9
7371,GOMININGUSDT,GMEUSDT,0.0,-4.14,-3.37,180.88,9
7390,GOMININGUSDT,HOTUSDT,0.01,-4.09,-3.37,239.88,9
7393,GOMININGUSDT,ICPUSDT,0.0,-4.12,-3.37,0.05,9
7406,GOMININGUSDT,JSTUSDT,0.0,-4.12,-3.37,13.1,9
7365,GOMININGUSDT,GALAUSDT,0.01,-4.07,-3.37,16.11,9
7417,GOMININGUSDT,KSMUSDT,0.01,-4.08,-3.37,0.02,9
2626,ATAUSDT,VIRTUALUSDT,0.01,-3.96,-3.37,0.05,9
3871,CAKEUSDT,RADUSDT,0.0,-4.87,-3.37,1.91,9
7361,GOMININGUSDT,FUELUSDT,0.0,-4.16,-3.37,17.88,9
1084,1000RATSUSDT,1000XECUSDT,0.01,-3.98,-3.37,0.94,9
11724,RAREUSDT,POLYXUSDT,0.04,-3.41,-3.37,0.38,9
1086,1000RATSUSDT,ALPACAUSDT,0.02,-3.65,-3.37,0.23,9
7356,GOMININGUSDT,FLOCKUSDT,0.0,-4.19,-3.37,4.03,9
7477,GOMININGUSDT,NOTUSDT,0.01,-4.1,-3.37,108.94,9
7481,GOMININGUSDT,NYANUSDT,0.0,-4.18,-3.37,10.68,9
7484,GOMININGUSDT,OMGUSDT,0.0,-4.11,-3.37,1.63,9
7485,GOMININGUSDT,OMNIUSDT,0.0,-4.11,-3.37,0.07,9
7490,GOMININGUSDT,ORCAUSDT,0.01,-4.09,-3.37,0.17,9
7352,GOMININGUSDT,FIDAUSDT,0.01,-4.09,-3.37,2.47,9
7495,GOMININGUSDT,PAXGUSDT,0.0,-4.17,-3.37,0.0,9
11826,RENUSDT,SANDUSDT,0.02,-3.6,-3.37,0.05,9
2571,ASTRUSDT,SLPUSDT,0.0,-5.06,-3.37,17.39,9
2563,ASTRUSDT,NEIROETHUSDT,0.01,-3.92,-3.37,2.09,9
11946,REQUSDT,CATIUSDT,0.02,-3.67,-3.37,0.51,9
3885,CATIUSDT,AI16ZUSDT,0.03,-3.58,-3.37,0.35,9
7378,GOMININGUSDT,GRTUSDT,0.01,-4.1,-3.37,2.77,9
11906,REQUSDT,ATHUSDT,0.03,-3.51,-3.37,2.22,9
7256,GOMININGUSDT,ATHUSDT,0.0,-4.11,-3.37,9.21,9
11477,QIUSDT,SWARMSUSDT,0.01,-3.78,-3.37,0.16,9
1140,1000RATSUSDT,SHIB1000USDT,0.01,-4.02,-3.37,1.6,9
11913,REQUSDT,AVAXUSDT,0.02,-3.67,-3.37,0.0,9
11916,REQUSDT,BAKEUSDT,0.02,-3.72,-3.37,0.63,9
2513,ARPAUSDT,MONUSDT,0.05,-3.38,-3.37,0.66,9
7787,HBARUSDT,SWARMSUSDT,0.0,-4.66,-3.37,3.8,9
7793,HBARUSDT,VIRTUALUSDT,0.0,-4.2,-3.37,0.15,9
11919,REQUSDT,BANDUSDT,0.02,-3.74,-3.37,0.1,9
7818,HIFIUSDT,FIREUSDT,0.02,-3.75,-3.37,2.55,9
4134,CHESSUSDT,MERLUSDT,0.04,-3.45,-3.37,1.07,9
11921,REQUSDT,BATUSDT,0.03,-3.59,-3.37,0.53,9
2501,ARPAUSDT,COTIUSDT,0.03,-3.51,-3.37,0.44,9
7839,HIFIUSDT,NEIROETHUSDT,0.04,-3.46,-3.37,22.28,9
11422,PYTHUSDT,NEIROETHUSDT,0.04,-3.4,-3.37,12.01,9
11421,PYTHUSDT,AXLUSDT,0.04,-3.47,-3.37,0.51,9
11416,PYRUSDT,SWEATUSDT,0.01,-3.97,-3.37,336.88,9
2482,ARKUSDT,POPCATUSDT,0.02,-3.75,-3.37,1.42,9
7858,HIFIUSDT,SWARMSUSDT,0.02,-3.72,-3.37,6.49,9
7863,HIFIUSDT,VANRYUSDT,0.03,-3.52,-3.37,7.41,9
11940,REQUSDT,BSWUSDT,0.01,-3.87,-3.37,2.14,9
11901,REQUSDT,ARKUSDT,0.02,-3.61,-3.37,0.23,9
14228,VANAUSDT,SWARMSUSDT,0.04,-3.39,-3.37,111.45,9
7277,GOMININGUSDT,BICOUSDT,0.01,-4.1,-3.37,2.06,9
7709,GUSDT,SWARMSUSDT,0.03,-3.58,-3.37,0.32,9
7661,GTCUSDT,MBOXUSDT,0.02,-3.68,-3.37,4.09,9
2544,ASTRUSDT,FIREUSDT,0.04,-3.45,-3.37,0.24,9
2538,ASTRUSDT,CYBERUSDT,0.05,-3.37,-3.37,0.02,9
7310,GOMININGUSDT,COOKIEUSDT,0.0,-4.12,-3.37,1.76,9
11858,REQUSDT,1000LUNCUSDT,0.04,-3.47,-3.37,1.53,9
11860,REQUSDT,1000NEIROCTOUSDT,0.01,-3.88,-3.37,0.22,9
7692,GUSDT,KAVAUSDT,0.03,-3.52,-3.37,0.06,9
11861,REQUSDT,1000PEPEUSDT,0.02,-3.75,-3.37,8.84,9
2532,ASTRUSDT,AVAAIUSDT,0.05,-3.38,-3.37,0.55,9
7698,GUSDT,NEIROETHUSDT,0.05,-3.37,-3.37,1.11,9
11869,REQUSDT,ACEUSDT,0.02,-3.69,-3.37,0.08,9
7757,HBARUSDT,MYROUSDT,0.0,-4.11,-3.37,9.7,9
11547,RADUSDT,GEMSUSDT,0.03,-3.58,-3.37,12.71,9
7714,GUSDT,VIRTUALUSDT,0.02,-3.65,-3.37,0.01,9
11876,REQUSDT,AEVOUSDT,0.03,-3.55,-3.37,0.45,9
1122,1000RATSUSDT,KNCUSDT,0.03,-3.53,-3.37,0.06,9
11880,REQUSDT,AIOZUSDT,0.0,-4.31,-3.37,0.16,9
11527,RADUSDT,BUZZUSDT,0.0,-4.28,-3.37,13.73,9
11512,RADUSDT,AAVEUSDT,0.0,-4.11,-3.37,0.0,9
2520,ARPAUSDT,SCRUSDT,0.04,-3.41,-3.37,0.06,9
7282,GOMININGUSDT,BLUEUSDT,0.0,-4.15,-3.37,2.43,9
7751,HBARUSDT,MEMEUSDT,0.02,-3.65,-3.37,43.34,9
2725,AUDIOUSDT,AI16ZUSDT,0.01,-3.96,-3.37,0.2,9
9925,MOTHERUSDT,RADUSDT,0.0,-4.88,-3.37,0.01,9
12044,REQUSDT,ICPUSDT,0.03,-3.53,-3.37,0.01,9
5284,DGBUSDT,JUPUSDT,0.02,-3.62,-3.37,0.01,9
13374,SLFUSDT,USUALUSDT,0.01,-3.8,-3.37,0.68,9
3442,BNBUSDT,10000LADYSUSDT,0.04,-3.38,-3.37,1100969.89,9
3441,BNBUSDT,1000000MOGUSDT,0.02,-3.76,-3.37,547.72,9
5311,DGBUSDT,MAVUSDT,0.03,-3.53,-3.37,0.08,9
13355,SLFUSDT,SUPERUSDT,0.04,-3.41,-3.37,0.25,9
13353,SLFUSDT,STXUSDT,0.02,-3.61,-3.37,0.18,9
3769,BSVUSDT,BLUEUSDT,0.02,-3.76,-3.37,244.61,9
5352,DGBUSDT,POPCATUSDT,0.01,-3.85,-3.37,0.03,9
14105,TWTUSDT,VTHOUSDT,0.01,-3.9,-3.37,193.85,9
13328,SLFUSDT,SAGAUSDT,0.01,-3.92,-3.37,0.21,9
13326,SLFUSDT,RPLUSDT,0.01,-4.08,-3.37,0.03,9
5390,DGBUSDT,SUNDOGUSDT,0.03,-3.5,-3.37,0.2,9
13316,SLFUSDT,PYTHUSDT,0.01,-3.9,-3.37,0.82,9
3402,BLASTUSDT,SNTUSDT,0.03,-3.52,-3.37,0.15,9
512,10000COQUSDT,POPCATUSDT,0.01,-3.91,-3.37,0.03,9
3387,BLASTUSDT,IDUSDT,0.02,-3.64,-3.37,0.02,9
13286,SLFUSDT,NYANUSDT,0.01,-3.77,-3.37,5.12,9
3381,BLASTUSDT,FLMUSDT,0.02,-3.7,-3.37,0.11,9
3354,BIOUSDT,10000000AIDOGEUSDT,0.04,-3.42,-3.37,123.41,9
5478,DOGEUSDT,10000LADYSUSDT,0.01,-3.88,-3.37,540.7,9
5479,DOGEUSDT,1000APUUSDT,0.04,-3.45,-3.37,0.93,9
3445,BNBUSDT,1000APUUSDT,0.03,-3.55,-3.37,1896.46,9
13385,SLFUSDT,VTHOUSDT,0.02,-3.7,-3.37,44.57,9
13505,STEEMUSDT,SUNDOGUSDT,0.03,-3.52,-3.37,3.9,9
3767,BSVUSDT,ANIMEUSDT,0.03,-3.56,-3.37,1021.21,9
3489,BNBUSDT,FOXYUSDT,0.03,-3.58,-3.37,97549.8,9
3488,BNBUSDT,FLRUSDT,0.01,-4.06,-3.37,26951.31,9
404,10000COQUSDT,GMEUSDT,0.03,-3.53,-3.37,3.41,9
3482,BNBUSDT,ENAUSDT,0.02,-3.62,-3.37,895.4,9
5171,DGBUSDT,1000BONKUSDT,0.04,-3.42,-3.37,0.42,9
5182,DGBUSDT,ACTUSDT,0.01,-3.77,-3.37,0.06,9
5185,DGBUSDT,AI16ZUSDT,0.01,-3.86,-3.37,0.02,9
5194,DGBUSDT,ARCUSDT,0.03,-3.53,-3.37,0.03,9
13456,SPECUSDT,AVAAIUSDT,0.02,-3.7,-3.37,57.17,9
3471,BNBUSDT,CLOUDUSDT,0.04,-3.47,-3.37,4713.39,9
3466,BNBUSDT,BLUEUSDT,0.01,-3.79,-3.37,3337.38,9
3465,BNBUSDT,BELUSDT,0.01,-3.82,-3.37,989.59,9
13441,SOLUSDT,VIRTUALUSDT,0.04,-3.47,-3.37,113.3,9
3463,BNBUSDT,BALUSDT,0.03,-3.49,-3.37,276.27,9
13422,SNXUSDT,SCAUSDT,0.03,-3.53,-3.37,8.93,9
13419,SNXUSDT,LTCUSDT,0.02,-3.76,-3.37,0.01,9
13411,SNTUSDT,SLPUSDT,0.03,-3.5,-3.37,13.69,9
4360,COMPUSDT,SONICUSDT,0.04,-3.39,-3.37,149.16,9
3454,BNBUSDT,AIXBTUSDT,0.03,-3.57,-3.37,1332.93,9
13396,SNTUSDT,1000PEPEUSDT,0.03,-3.52,-3.37,2.96,9
5278,DGBUSDT,IMXUSDT,0.02,-3.68,-3.37,0.01,9
13269,SLFUSDT,MOBILEUSDT,0.02,-3.75,-3.37,300.89,9
13264,SLFUSDT,MEMEUSDT,0.01,-3.98,-3.37,32.58,9
5485,DOGEUSDT,AI16ZUSDT,0.0,-4.18,-3.37,0.5,9
5494,DOGEUSDT,BELUSDT,0.01,-4.0,-3.37,0.48,9
5613,DOGSUSDT,STPTUSDT,0.04,-3.46,-3.37,0.0,9
13148,SLFUSDT,COMBOUSDT,0.0,-4.21,-3.37,0.7,9
5615,DOGUSDT,ARUSDT,0.03,-3.54,-3.37,0.0,9
3317,BIGTIMEUSDT,COOKIEUSDT,0.02,-3.71,-3.37,0.33,9
5621,DOGUSDT,JASMYUSDT,0.04,-3.47,-3.37,0.14,9
111,1000000PEIPEIUSDT,AIXBTUSDT,0.03,-3.49,-3.37,0.1,9
13134,SLFUSDT,BOMEUSDT,0.01,-4.02,-3.37,69.15,9
3310,BIGTIMEUSDT,ANIMEUSDT,0.01,-3.99,-3.37,1.87,9
109,1000000PEIPEIUSDT,AI16ZUSDT,0.02,-3.63,-3.37,0.08,9
5668,DRIFTUSDT,VIRTUALUSDT,0.02,-3.69,-3.37,0.44,9
3289,BICOUSDT,HPOS10IUSDT,0.03,-3.51,-3.37,1.7,9
5685,DUSKUSDT,TWTUSDT,0.0,-4.3,-3.37,0.16,9
13105,SLFUSDT,ARBUSDT,0.02,-3.64,-3.37,0.37,9
5688,DYDXUSDT,1000APUUSDT,0.02,-3.63,-3.37,3.03,9
13093,SLFUSDT,AGLDUSDT,0.02,-3.76,-3.37,0.16,9
5717,EDUUSDT,GLMRUSDT,0.01,-3.92,-3.37,2.68,9
13091,SLFUSDT,AEVOUSDT,0.03,-3.56,-3.37,0.89,9
13089,SLFUSDT,ACTUSDT,0.01,-3.82,-3.37,1.23,9
3259,BCHUSDT,USUALUSDT,0.02,-3.61,-3.37,1236.85,9
3258,BCHUSDT,USDCUSDT,0.04,-3.43,-3.37,423.41,9
5728,EDUUSDT,MASKUSDT,0.0,-4.38,-3.37,0.2,9
13150,SLFUSDT,COOKIEUSDT,0.01,-4.05,-3.37,0.85,9
13151,SLFUSDT,COOKUSDT,0.02,-3.74,-3.37,10.6,9
5599,DOGSUSDT,MAVUSDT,0.03,-3.53,-3.37,0.0,9
13206,SLFUSDT,GRIFFAINUSDT,0.01,-3.92,-3.37,0.78,9
5508,DOGEUSDT,ETHBTCUSDT,0.03,-3.54,-3.37,10.54,9
